scene_id,platform,acquisition_date,orbit_pass,relative_orbit,absolute_orbit,polarization,size_mb,gap_days
S1A_IW_SLC__1SDV_20171029T105801_20171029T105828_019027_0202C6_7BF3,Sentinel-1A,2017-10-29 10:58:01+00:00,ASCENDING,55,19027,VV+VH,4586.7,23.0
S1A_IW_SLC__1SDV_20171029T105826_20171029T105853_019027_0202C6_EAC2,Sentinel-1A,2017-10-29 10:58:26+00:00,ASCENDING,55,19027,VV+VH,4603.0,0.0
S1A_IW_SLC__1SDV_20171110T105801_20171110T105828_019202_02082B_000A,Sentinel-1A,2017-11-10 10:58:01+00:00,ASCENDING,55,19202,VV+VH,4587.0,11.0
S1A_IW_SLC__1SDV_20171110T105826_20171110T105853_019202_02082B_22EC,Sentinel-1A,2017-11-10 10:58:26+00:00,ASCENDING,55,19202,VV+VH,4615.9,0.0
S1A_IW_SLC__1SDV_20171122T105801_20171122T105828_019377_020DB4_B25A,Sentinel-1A,2017-11-22 10:58:01+00:00,ASCENDING,55,19377,VV+VH,4578.1,11.0
S1A_IW_SLC__1SDV_20171122T105826_20171122T105853_019377_020DB4_EC79,Sentinel-1A,2017-11-22 10:58:26+00:00,ASCENDING,55,19377,VV+VH,4580.0,0.0
S1A_IW_SLC__1SDV_20171204T105800_20171204T105827_019552_02132C_F675,Sentinel-1A,2017-12-04 10:58:00+00:00,ASCENDING,55,19552,VV+VH,4566.3,11.0
S1A_IW_SLC__1SDV_20171204T105825_20171204T105852_019552_02132C_ED61,Sentinel-1A,2017-12-04 10:58:25+00:00,ASCENDING,55,19552,VV+VH,4580.4,0.0
S1A_IW_SLC__1SDV_20171216T105800_20171216T105827_019727_02189C_196D,Sentinel-1A,2017-12-16 10:58:00+00:00,ASCENDING,55,19727,VV+VH,4554.8,11.0
S1A_IW_SLC__1SDV_20171216T105825_20171216T105852_019727_02189C_807E,Sentinel-1A,2017-12-16 10:58:25+00:00,ASCENDING,55,19727,VV+VH,4554.0,0.0
S1A_IW_SLC__1SDV_20171228T105759_20171228T105826_019902_021E07_30DE,Sentinel-1A,2017-12-28 10:57:59+00:00,ASCENDING,55,19902,VV+VH,4610.9,11.0
S1A_IW_SLC__1SDV_20171228T105824_20171228T105851_019902_021E07_704A,Sentinel-1A,2017-12-28 10:58:24+00:00,ASCENDING,55,19902,VV+VH,4607.3,0.0
S1A_IW_SLC__1SDV_20180109T105758_20180109T105826_020077_02238E_4F9E,Sentinel-1A,2018-01-09 10:57:58+00:00,ASCENDING,55,20077,VV+VH,4734.9,11.0
S1A_IW_SLC__1SDV_20180109T105824_20180109T105851_020077_02238E_5606,Sentinel-1A,2018-01-09 10:58:24+00:00,ASCENDING,55,20077,VV+VH,4571.1,0.0
S1A_IW_SLC__1SDV_20180121T105758_20180121T105826_020252_02291A_BDCE,Sentinel-1A,2018-01-21 10:57:58+00:00,ASCENDING,55,20252,VV+VH,4752.2,11.0
S1A_IW_SLC__1SDV_20180121T105823_20180121T105850_020252_02291A_8F81,Sentinel-1A,2018-01-21 10:58:23+00:00,ASCENDING,55,20252,VV+VH,4586.3,0.0
S1A_IW_SLC__1SDV_20180202T105757_20180202T105825_020427_022EB0_B03D,Sentinel-1A,2018-02-02 10:57:57+00:00,ASCENDING,55,20427,VV+VH,4718.8,11.0
S1A_IW_SLC__1SDV_20180202T105823_20180202T105850_020427_022EB0_03C3,Sentinel-1A,2018-02-02 10:58:23+00:00,ASCENDING,55,20427,VV+VH,4547.3,0.0
S1A_IW_SLC__1SDV_20180214T105757_20180214T105825_020602_02344C_8978,Sentinel-1A,2018-02-14 10:57:57+00:00,ASCENDING,55,20602,VV+VH,4733.4,11.0
S1A_IW_SLC__1SDV_20180214T105823_20180214T105850_020602_02344C_F229,Sentinel-1A,2018-02-14 10:58:23+00:00,ASCENDING,55,20602,VV+VH,4590.6,0.0
S1A_IW_SLC__1SDV_20180226T105757_20180226T105825_020777_0239E2_8123,Sentinel-1A,2018-02-26 10:57:57+00:00,ASCENDING,55,20777,VV+VH,4726.5,11.0
S1A_IW_SLC__1SDV_20180226T105823_20180226T105850_020777_0239E2_D115,Sentinel-1A,2018-02-26 10:58:23+00:00,ASCENDING,55,20777,VV+VH,4570.4,0.0
S1A_IW_SLC__1SDV_20180310T105758_20180310T105825_020952_023F62_B73B,Sentinel-1A,2018-03-10 10:57:58+00:00,ASCENDING,55,20952,VV+VH,4532.3,11.0
S1A_IW_SLC__1SDV_20180310T105823_20180310T105850_020952_023F62_2554,Sentinel-1A,2018-03-10 10:58:23+00:00,ASCENDING,55,20952,VV+VH,4570.9,0.0
S1A_IW_SLC__1SDV_20180322T105758_20180322T105825_021127_0244EC_F691,Sentinel-1A,2018-03-22 10:57:58+00:00,ASCENDING,55,21127,VV+VH,4545.7,11.0
S1A_IW_SLC__1SDV_20180322T105823_20180322T105850_021127_0244EC_081C,Sentinel-1A,2018-03-22 10:58:23+00:00,ASCENDING,55,21127,VV+VH,4578.7,0.0
S1A_IW_SLC__1SDV_20180403T105758_20180403T105825_021302_024A78_26DC,Sentinel-1A,2018-04-03 10:57:58+00:00,ASCENDING,55,21302,VV+VH,4555.9,11.0
S1A_IW_SLC__1SDV_20180403T105823_20180403T105850_021302_024A78_DF34,Sentinel-1A,2018-04-03 10:58:23+00:00,ASCENDING,55,21302,VV+VH,4596.0,0.0
S1A_IW_SLC__1SDV_20180415T105759_20180415T105826_021477_024FEB_1F09,Sentinel-1A,2018-04-15 10:57:59+00:00,ASCENDING,55,21477,VV+VH,4577.0,11.0
S1A_IW_SLC__1SDV_20180415T105824_20180415T105851_021477_024FEB_AA5C,Sentinel-1A,2018-04-15 10:58:24+00:00,ASCENDING,55,21477,VV+VH,4575.5,0.0
S1A_IW_SLC__1SDV_20180427T105800_20180427T105827_021652_025562_6E33,Sentinel-1A,2018-04-27 10:58:00+00:00,ASCENDING,55,21652,VV+VH,4575.9,11.0
S1A_IW_SLC__1SDV_20180427T105824_20180427T105851_021652_025562_3D39,Sentinel-1A,2018-04-27 10:58:24+00:00,ASCENDING,55,21652,VV+VH,4591.0,0.0
S1A_IW_SLC__1SDV_20180509T105800_20180509T105827_021827_025AF1_0ED3,Sentinel-1A,2018-05-09 10:58:00+00:00,ASCENDING,55,21827,VV+VH,4607.6,11.0
